Organisation,CountryName,CityName,C40,ReportingYear,Sector,TargetBoundary,BaselineYear,BaselineEmissions,PercentageReductionTarget,TargetDate,Comment,CityLocation
City of Buenos Aires,Argentina,Buenos Aires,C40,2016,Total,The reduction target purposed by Buenos Aires City includes our entire emissions inventory,2008,12742478,30,2030,"-Baseline scenario goal: 2008 is the start year of the baseline scenario used as the starting point for the BAU analysis. 
-Buenos Aires City target applies to the entire city-wide emissions inventory. The sources we have disclosed are the mitigation lines included in the target. 
-Note that the target of 30 % includes an unconditional 20 % and 10% conditional on access to finance and the national regulatory policy framework.","(-34.6037232, -58.3815931)"
Distrito Metropolitano de Quito,Ecuador,Quito,C40,2016,Total,"5% reduction per year of the projected growth rate of emissions, starting 2019",2011,5218318,30,2025,"5% reduction per year of the projected growth rate of emissions, starting 2019","(-0.2333, -78.5167)"
Prefeitura do Rio de Janeiro,Brazil,Rio de Janeiro,C40,2016,Total,"Road Transportation, Railway, Residential, Commercial, Public Sector, fugitive emissions and other, Forest and land use, Urban Solid Waste, wastewater.",2005,11933280,16,2016,Measurement of avoided GHG emissions.,"(-22.9054389, -43.5614471)"
Prefeitura do Rio de Janeiro,Brazil,Rio de Janeiro,C40,2016,Total,"Road Transportation, Railway, Residential, Commercial, Public Sector, fugitive emissions and other, Forest and land use, Urban Solid Waste, wastewater.",2005,11933280,20,2020,Measurement of avoided GHG emissions.,"(-22.9054389, -43.5614471)"
Prefeitura do Rio de Janeiro,Brazil,Rio de Janeiro,C40,2016,Total,Community-scale emissions and emissions of Rio responsibility from outside the city boundary. Carbon compensation is considered for achieving this goal.,,,100,2065,"Rio has just launched its goal for being carbon neutral until 2065, fifty years from now.","(-22.9054389, -43.5614471)"
Comune di Lucca,Italy,Lucca,,2016,Total,,2005,437265,20,2020,http://www.covenantofmayors.eu/about/signatories_it.html?city_id=4190&seap,"(43.839917, 10.617374)"
Frederikshavn Kommune,Denmark,Frederikshavn Kommune,,2016,Total,,2010,547000,97,2030,,"(57.442711, 10.521006)"
City of Alba-Iulia,Romania,Alba-Iulia,,2016,Buildings,,2008,4292,34,2020,,"(46.082337, 23.569027)"
City of Alba-Iulia,Romania,Alba-Iulia,,2016,Buildings,,2008,61560,25,2020,,"(46.082337, 23.569027)"
City of Alba-Iulia,Romania,Alba-Iulia,,2016,Buildings,,2008,98185,18,2020,,"(46.082337, 23.569027)"
City of Alba-Iulia,Romania,Alba-Iulia,,2016,Transport,,2008,44216,23,2020,,"(46.082337, 23.569027)"
City of Alba-Iulia,Romania,Alba-Iulia,,2016,Other: public lighting - energy regeneration,,2008,1935,38,2020,,"(46.082337, 23.569027)"
"Town of Ajax, ON",Canada,"Ajax, ON",,2016,Total,Within the municipality boundaries,2005,521250,6,2020,,"(43.850855, -79.020373)"
"City of Prince George, BC",Canada,"Prince George, BC",,2016,Total,,2002,,2,2012,"City has not set new targets at this time, working on them for the near future.","(53.917064, -122.749669)"
"City of Piedmont, CA",USA,"Piedmont, CA",,2016,Total,City of Piedmont,2005,427000000,15,2020,,"(37.8244, -122.2316)"
Ville de Salaberry-de-Valleyfield,Canada,Salaberry-de-Valleyfield,,2016,Total,"Community sector:
- Waste management
- road transport",2009,198408.23,20,2020,,"(45.250091, -74.133086)"
Moscow Government,Russia,"Moscow ",C40,2016,Total,Total emissions within the inventory boundary,1990,63443619,25,2020,,"(55.755826, 37.6173)"
Stadt Heidelberg,Germany,Stadt Heidelberg,C40,2016,Total,,1990,,95,2050,,"(49.398752, 8.672434)"
"City of Davis, CA",USA,"Davis, CA",,2016,Total,Municipal boundary/city limits,2010,348437,100,2050,,"(38.544907, -121.740517)"
City of Hiroshima,Japan,Hiroshima,,2016,Total,"CO2
CH4
NO2
HFCs",1990,8525221,6,,,"(34.385203, 132.455293)"
