Organization,CityName,Country,Region,C40,ReportingYear,Boundary,GasesIncluded,TotalCityWideEmissions,Comment,IncreaseDecreaseLastYear,ReasonForIncreaseDecrease,Population,PopulationYear,CityGDP,GDPCurrency,GDPYear,GDPSource,AverageAnnualTemperature,​AverageAltitude,​LandArea,CityLocation
City of Eugene,Eugene,USA,North America,,2017,Administrative boundary of a local government,,,,Increased,"The primary reason for the increase compared to 2005 reporting is a change in accounting methodology for electricity in the Eugene Community Inventory. In 2005, electricity emissions were calculated using a utility-specific factor, while 2015, per GPC Guidance, Eugene is reporting electricity emissions using the location-based method for electricity. 

Other items to note on year-over-year change include the following: Scope 1 emissions have decreased by about -20% compared to 2005. This is attributed Oregon's adoption of a Renewable Fuel Standard which sets minimums of 10% ethanol in gasoline and 5% biodiesel in diesel fuels sold in the state, as well the effect of energy efficiency adoption in the RCI sectors for natural gas as well as warmer winders in 2014 and 2015. Since 2010 transportation emissions have decreased by -7% and natural gas emissions have gone down by --7% in the residential sector and -1% in the commercial / industrial sectors.",165885,2016,14322000000,USD     US Dollar,2015,"U.S. Dept. of Commerce, Bureau of Economic Analysis, Regional Data, Eugene, OR (Metropolitan Statistical Area), All Industry Total",11.2,130,113,"(44.0519, -123.0867)"
City of West Hollywood,West Hollywood,USA,North America,,2017,Administrative boundary of a local government,CO2,583213,,Stayed the same,We have not conducted a GHG inventory since 2008 but the City received a Strategic Growth Council grant to create a GHG inventory tool this year 2017. We plan to conduct another inventory as soon as possible.,34399,2010,930817000,USD     US Dollar,2015,US Dept. of Commerce BEA – Los Angeles Metro Area https://www.bea.gov/itable/iTable.cfm?ReqID=70&step=1#reqid=70&step=1&isuri=1,19,90,5,"(34.09, -118.3617)"
Bogor City Government,"Bogor ",Indonesia,South Asia and Oceania,,2017,Administrative boundary of a local government,CO2; CH4; N2O,2193642,Finished,Increased,"due to population growth, transportation and economic activity",1047922,2015,117412136000000,IDR     Rupiah,2014,Central Statistic Bureau,32.1,260,118.5,"(-6.5971, 106.806)"
City of Adelaide,Adelaide,Australia,South Asia and Oceania,,2017,Administrative boundary of a local government,,573347,,Other: Emission inventories not consecutive years and new emission sources added to latest GHG inventory,"In the previous CDP Cities 2016 Submission, the GHG emissions from FY2012/13 were reported. We have since calculated a more recent GHG inventory for FY2015/16 and included new emission sources. As such, the current GHG emissions inventory and the previously reported GHG inventory are not directly comparable. We are in the process of compiling historical GHG inventories. Going forward we will be able to show an accurate year on year change based on consistently calculated GHG emissions inventories.",23615,2016,18124000000,AUD     Australian Dollar,2015,http://economy.id.com.au/adelaide/gross-product,18,38,16,"(-34.928499, 138.600746)"
Barreiro,Barreiro,Portugal,Europe,,2017,Administrative boundary of a local government,,286477,,Increased,A residual increase of 2%.,78764,2011,,,,,16,20,33,"(38.660815, -9.079072)"
City Government of Makati,Makati,Philippines,South Asia and Oceania,,2017,Administrative boundary of a local government,,462586,,Increased,"Scope 1 (Stationary Energy and Transport) and Scope 3 (Solid Waste) increased due to the following reasons:
a. During daytime, the City's population increases to more than 4 million as people from the Metropolitan Manila and other provinces go to the city to work, shop, do business, or simply dine and be entertained.
b. With the increasing population, waste generation also increases.
c. Increased construction and development projects are also observed leading to increased in the demand for energy.
d. More than 800,000 vehicles traverses the City each day as the City host of three (3) Metro Rail Transit (MRT) and Philippine National Railways (PNR) stations and gateway of four (4) major roads.",529039,2010,6,PHP     Philippine Peso,2015,Budget of Expenditures and Sources of Financing NEDA,28.4,15,27.4,"(14.554729, 121.024445)"
Ajuntament de Barcelona,Barcelona,Spain,Europe,C40,2017,Administrative boundary of a local government,CO2; CH4; N2O,3329110,"Includes  municipal GHG emissions, residential, terciary and industrial sector, mobility GHG emissions, waste tratment and port and airpot emissions.",Decreased,Due to the increasing renewable energy production and the decreasing of consumption of natural gas.,1608746,2016,64567300000,EUR     Euro,2014,Statistical Institute of Catalonia (Idescat),18,13,101,"(41.382271, 2.177506)"
Comune di Venezia,Venezia,Italy,Europe,C40,2017,Administrative boundary of a local government,CO2,1418344,,Decreased,"Emissions have decreased around 10% in 10 years. However, the most important share of this reduction is due to Transport Emissions data, which were only estimated using the Regional Agency for the Protection of Environment of Veneto Region (ARPAV) data referred on 2013.",261905,2016,10245550000,EUR     Euro,2014,Data from Unioncamere - Tagliacarne Foundation for Venice Municipality,12,3,414,"(45.4332515, 12.3210704)"
City of Tirana,Tirana,Albania,Europe,,2017,Administrative boundary of a local government,CO2,610773,"The inventory is also found on the Sustainable Energy Action Plan of the City of Tirana (SEAP). The total emission figure is generated on the data listed below:1. The total registered number of private and commercial vehicles in the city of Tirana in 2011, divided by type of fuel consumption2. The total area of residential and commercial buildings, in 20113. The electricity consumption data for both residential and commercial buildings in 2011, data obtained from CEZ Albania",,,780531,2016,,,,,15,110,1110,"(41.327546, 19.818698)"
Município de Guimarães,Guimarães,Portugal,Europe,,2017,Administrative boundary of a local government,CO2,401323,The methodology used to calculate GHG emissions of Guimarães municipality is based in the guidelines of Joint Research Centre of the European Commission for SEAP development and the calculations were are based on relevant socio-economic and energetic information provided by official statistics at municipal level.This results were already approved by Covenant of Mayors initiative.,Decreased,"The municipality of Guimarães has been implementing its SEAP achieving very positive results, namely achieving reductions of energy consumptions in municipal and residential buildings as well as industry, transports and agricultural sectors. Changes in the electricity mix also contributed to the community emissions reduction, allowing to the achievement in 2014 of the commitments for 2020.",154920,2015,1802000000,EUR     Euro,2015,Energy baseline emissions. This value was estimated. Official statistics of GDP at the municipal level are not available. The estimation was based on relevant economic and financial information provided by official statistics at municipal and regional level.,15,348,241,"(41.444266, -8.292241)"
City of Cambridge,Cambridge,USA,North America,,2017,A metropolitan area,,1462236,,This is our first year of calculation,,109694,2014,15796000000,USD     US Dollar,2012,Data represents Gross Regional Product from IMPLAN,52,12,16.2,"(45.601, -93.327333)"
Comune di Udine,Udine,Italy,Europe,,2017,Administrative boundary of a local government,,,,Stayed the same,respect to the baseline of 2006 the GHG emissions decreased of 4% in 2013,99528,2013,,,,,13,113,56,"(46.0667, 13.2333)"
Municipalidad de San Isidro (Lima),San Isidro (Lima),Peru,Latin America,,2017,Other: DISTRITAL,,318191.27,,This is our first year of calculation,,54206,2015,89771259,PEN     Nuevo Sol,2017,www.msi.gob.pe,18,109,9.8,"(-12.09772, -77.027336)"
Municipality of Curitiba,Curitiba,Brazil,Latin America,C40,2017,Administrative boundary of a local government,,4125853,,Increased,"The main difference on the increase of  GEE emissions is on the energy sector not by an increase of consumption but because of an increse on emission factors due to the use o thermoelectric plants. In 2012 the annual national average emission factor was 0,0653 T/CO 2e by MWh produced, while in 2013 the factor increased by 30% to 0,0963 T/CO2e by MWh produced .",1751907,2010,79400000000,BRL     Brazilian Real,2013,http://www.agencia.curitiba.pr.gov.br/publico/conteudo.aspx?codigo=39,18,935,434,"(-25.431063, -49.264693)"
City of Brasília,Brasília,Brazil,Latin America,,2017,A metropolitan area,CO2; PFCs; CH4; SF6; N2O; HFCs,7739830,,Increased,"Considerando-se as Emissões de GEE por setor para o DF (emissões totais) no período de 2005-2012, as emissões têm aumentado em todos os setores avaliados. De acordo com a análise, os setores Energia e Resíduos apresentaram variação crescente ao
longo de todos os períodos de análise. Para o setor IPPU, apenas a comparação 2005-2008 apresentou resultados menores do que o período anterior (2005-2007), com nova tendência de aumento nos demais intervalos subsequentes (devido à redução da produção de cimento em 2008 e retomada da produção nos anos seguintes).
Já AFOLU apresentou intervalos irregulares de variação positiva e negativa ao longo do período, com valores negativos para os intervalos 2005-2006, 2005-2008, 2005-2009 e 2005-2010. No ano de variação positiva (2005-2007) as categorias mais representativas em emissões no setor AFOLU (Calagem e Emissões da queima de biomassa) também tiveram variação positiva nesse mesmo período.",1409671,2015,171235,BRL     Brazilian Real,2012,Produto Interno Bruto do Distrito Federal. CODEPLAN,21,1172,5780,"(-15.794229, -47.882166)"
City of Ibadan,Ibadan,Nigeria,Africa,,2017,A metropolitan area,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,10000,,,,5591589,2011,16121000000,USD     US Dollar,2014,WIKIPEDIA FREE ENCYCLOPEDIA,31,230,3080,"(7.377535, 3.94704)"
City of Vancouver,Vancouver,Canada,North America,C40,2017,Administrative boundary of a local government,,2499107,,Decreased,"Community LDV emissions have decreased with continued increase in landfill gas capture efficiency. Also a decrease in overall stationary energy use: green building policies and improved energy efficiency contribute to this, but also a warmer winter season in 2015. Transportation Scope 1 emissions increased: fuel sales within region increased. Economic growth is one factor, but also USD-CAD exchange rate. Due to our proximity to US border (where fuel can be considerably less expensive), cross-border fuel-ups are significant. Unfavourable exchange rates correlate to decline in cross-border fuel purchasing behaviour.",631486,2016,51303000000,CAD     Canadian Dollar,2016,Conference Board of Canada (forecast); Vancouver Economic Commission,11,45,115,"(49.261226, -123.1139268)"
Stadt Heidelberg,Heidelberg,Germany,Europe,C40,2017,Administrative boundary of a local government,CO2,806000,"Since many years the IFEU institute developes CO2 balances for municipalities and consults the administrations with its expertise. Ifeu submitted a detailed inventory to the city of Heidelberg, Short comment on C1.3: All climate relevant gases (N2O, CH4 etc.) are included, but converted to CO2-equivalents.",Decreased,"Emissions decreased from 1987 until 2009
Emissions increased from 2009 until 2011
Emissions decreased from 2011 to 2015. 

The decrease may be due to big urban development projects (for example zero-emission living for 5.000 inhabitants in Heidelberg-Bahnstadt) and an continously decreasing energy demand for municipal buildings.",146333,2015,7727035000,EUR     Euro,2013,"http://www.heidelberg.de/hd,Lde/HD/Arbeiten+in+Heidelberg/Wirtschaftsdaten.html#erwerbsttige",13.2,114,109,"(49.398752, 8.672434)"
Comune di Genova,Genova,Italy,Europe,,2017,Administrative boundary of a local government,CO2,1810370,,Other:,Is not possible a comparison because the categories are quantified differently,583601,2016,25977591566,EUR     Euro,2015,www.ilsole24h.com,15,19,240,"(44.347961, 9.318415)"
City of Sydney,Sydney,Australia,South Asia and Oceania,C40,2017,Administrative boundary of a local government,,3783982,,Decreased,"City of Sydney emissions have decreased due to cleaning of the grid, increased network costs leading to greater awareness and behaviour change (indicating there is some price elasticity in electricity consumption), improved energy efficiency, uptake of solar PV installations and weather influences.",210931,2016,118000000000,AUD     Australian Dollar,2016,City Strategic Research Unit,20,39,26,"(-33.8674869, 151.2069902)"
"City of Santa Cruz, CA","Santa Cruz, CA",USA,North America,,2017,Administrative boundary of a local government,,,,Decreased,cleaner energy and fuel economies; energy efficiency and renewable energy adoption,64220,2015,11908000000,USD     US Dollar,2015,US Bureau of Economic Analysis,14.9,11,41,"(36.974117, -122.030796)"
"City of St Catharines, ON","St Catharines, ON",Canada,North America,,2017,Administrative boundary of a local government,,954541,,This is our first year of calculation,,131400,2014,5562586779,USD     US Dollar,2015,Gross Domestic Product - Statistics Canada,9,102,98,"(43.1594, -79.2469)"
Ville de Nyon,Nyon,Switzerland,Europe,,2017,Administrative boundary of a local government,,103807,,This is our first year of calculation,,20675,2016,1922000000,CHF     Swiss Franc,2015,"Based on our own calculation. Estimation made on the basis of the real GDP of Canton Waadt (federated state), itself based on the Swiss real GDP",,425,6.8,"(46.383268, 6.234785)"
City of San Antonio,San Antonio,USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; SF6; N2O,16498864,Data has not been audited by a 3rd party.,This is our first year of calculation,,1469845,2015,93198982910,USD     US Dollar,2012,,27,787,465,"(29.4241, -98.4936)"
Abington Township,"Abington ",USA,North America,,2017,Other: Municipal boundary,CO2; PFCs; CH4; SF6; N2O; HFCs,615224,"Although not a registered protocol, the DVRPC GHG Inventory is a thorough tool and was accepted during Abington's Township's STAR Communities™ verification for a Greenhouse Gas Emissions Inventory.",Decreased,"Energy efficiency by residents, businesses, industries, municipal government, and institutions such as hospitals and four public schools with geothermal HVAC, and a cleaner electricity generation mix contributed to this decrease.",55310,2010,,,,,13.6,86,40.1,"(40.12408, -75.119511)"
City of Boston,Boston,USA,North America,C40,2017,Administrative boundary of a local government,,6462495,,Increased,"GHGs increased by about 84,000 metric tonnes, or 1.3%. There were increases in both electricity and natural gas usage, which could be because of an extremely snowy and cold winter. Another factor is that the electricity emissions factor increased, by about 2%, with the closing of a major nuclear plant in Vermont and increased natural gas fired generation. The was a population increase of about 2% as well.",669469,2015,109500000000,USD     US Dollar,2015,Boston Planning and Development Agency analysis using data from the Bureau of Economic Analysis and the National Bureau of Economic Research,10,2,124,"(42.3584308, -71.0597732)"
City of West Palm Beach,West Palm Beach,USA,North America,,2017,Administrative boundary of a local government,,1484767,,Other:,The reported emissions have decreased since 2008 but this is largely due to changes and improvements in methodology.,106779,2016,4855510958,USD     US Dollar,2017,https://www.bea.gov/newsreleases/regional/gdp_metro/2014/pdf/gdp_metro0914.pdf,24.1,,58.2,"(26.715342, -80.053375)"
Ville de Salaberry-de-Valleyfield,Salaberry-de-Valleyfield,Canada,North America,,2017,Administrative boundary of a local government,,435594,,Other: New inventory with new sources,,40905,2017,,CAD     Canadian Dollar,,,6.3,48,125.5,"(45.250091, -74.133086)"
Aarhus Kommune,Aarhus,Denmark,Europe,,2017,Administrative boundary of a local government,CO2,1600000,,Decreased,Increasing share of renewable electricity at national level and continued energy savings,336000,2017,,,,,,,468,"(56.168393, 10.137373)"
"City of Arlington, VA","Arlington, VA",USA,North America,,2017,Administrative boundary of a local government,,2550886,,Other: new method,This is our first year of calculation using the GPC method. A comparison will be available later in 2017 when a 2016 inventory is completed.,220400,2016,18871919000,USD     US Dollar,2014,US Dept of Commerce Bureau of Economic Analysis,14.5,83,67,"(37.226486, -76.002594)"
"City of Lancaster, PA","Lancaster, PA",USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,364181,"This inventory is only about 75% complete, and the data that is included needs to be vetted still. The transportation data is especially lacking and major stationary sources (other than natural gas) have not been included yet.",Other:,"All GHG calculations are form 2015 data except the transportation emissions, which are 2014. We are still using 2015 data for this reporting.",60000,2016,,,,,11.5,112,7.3,"(40.037875, -76.305514)"
City of Columbus,Columbus,USA,North America,,2017,Administrative boundary of a local government,,,,Decreased,"Greenhouse gas emissions have again increased since our baseline emission inventory of 2013, but decreased since the 2014 inventory.",850106,2016,108089000000,USD     US Dollar,2014,https://development.ohio.gov/files/research/E1001.pdf,11.6,275,563,"(39.9611755, -82.9987942)"
"City of San Leandro, CA","San Leandro, CA",USA,North America,,2017,Administrative boundary of a local government,,633905,,Decreased,"Our emissions have decreased from the 2005 baseline of 675,800 metric tons of co2e. 

While emissions from transit have increased as the municipal and regional population has increased dramatically, other sectors have decreased significantly. 

Residential energy use has decreased by 15,000 metric tons of co2e in large part due to shifts in energy sourcing from PG&E. 

Countywide efforts to decrease land-filled waste have helped cut co2e from waste more than in half (from about 47,000 tons CO2e to only 20,105) with further reductions planned for the future. 

Commercial energy, which also shows a drop, is anomalous.  While the shift in PG&E sourcing has undoubtedly reduced the amount of GHG emissions, the so-called 15/15 Rule prohibits us from seeing exact industrial natural gas emissions. Instead we modeled usage based on historical data which may or not may reflect current usage due to current economic growth in comparison to the years used (2009-2013) when the economy was recovering for the recession.",88441,2015,5980612000,USD     US Dollar,2012,"Bureau of Economic Analysis, US Department of Commerce (estimated from GDP/capital statistic for SF metropolitan area)",15,15,40,"(37.72493, -122.156077)"
Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,C40,2017,A metropolitan area,,5759189,,Increased,"The GHGs emissions in 2015, have increased  10% in comparison to the 2011 GHGs emissions inventory. Nonetheless the increase is less to what it was projected.",2239191,2010,22997319000,USD     US Dollar,2014,Ecuador Central Bank,22,2815,4232,"(-0.2333, -78.5167)"
"City of Tempe, AZ","Tempe, AZ",USA,North America,,2017,Administrative boundary of a local government,,3187650.72,,This is our first year of calculation,,175826,2015,198000000000,USD     US Dollar,2014,* For Metro Phoenix. US Bureau of Economic Analysis,21.8,335,39.5,"(33.42551, -111.940005)"
Comune di Ravenna,Ravenna,Italy,Europe,,2017,Administrative boundary of a local government,CO2,9326,,Decreased,According to the Convenant of Mayors a series of actions have been implemented and are still on going in order to reach the goal of a reduction of CO2 emissions by at least 20% by 2020.,391414,2016,,,,,14.1,4,683,"(41.913028, 12.518037)"
"City of Charlottesville, VA","Charlottesville, VA",USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,720870,Electricity and Natural Gas consumption are measured values however transportation figures are based on Virginia DOT's Vehicle Miles Traveled studies and estimates which may not be entirely accurate.,Increased,"There has been a 7% increase in community-wide emissions between 2000 (baseline) and 2011 (latest inventory year).  The largest increase was in the commercial/institutional sector (a reflection of significant expansion by the University of Virginia during that period), followed by the residential section (a reflection of population growth).",48210,2010,,USD     US Dollar,,"This data is not available for the City alone.  the 2014 GDP for the Charlottesville MSA is 11,734,000,000 (U.S. Bureau of Economic Analysis)",13.9,181,26.9,"(38.0293, -78.4767)"
City of Atlanta,Atlanta,USA,North America,,2017,Administrative boundary of a local government,,9139286,,Increased,"Factors for the increase in emissions are: a growth in the construction market, the construction of a new international terminal at the airport, and cheap prices of oil",443775,2013,260000000000,USD     US Dollar,2013,http://www.atlantaga.gov/modules/showdocument.aspx?documentid=12107,16.9,272,343,"(33.7489954, -84.3879824)"
Metropolitan Municipality of Lima,Lima,Peru,Latin America,C40,2017,Administrative boundary of a local government,,15789438,,Increased,Han aumentado puesto que no se ha trabajado en proyectos o programas que tengan gran potencial de reducción en gases con efecto invernadero.,8755262,2014,,PEN     Nuevo Sol,2016,INEI,18,154,2672,"(-12.046374, -77.042793)"
Greater London Authority,"London ",United Kingdom,Europe,C40,2017,Other: Admistrative boundary of the Greater London Authority,,40096000,,Decreased,"London's CO2 emissions decreased between 2013 and 2014. As of 2014 they are 16% lower than 1990 levels and expected to reach a 20% reduction in the 2015 GHG assessment (currently being finalised for publication later in 2017). This decline is due to decarbonisation of the national electricity grid, with a reduction in coal use and an increase in renewables share of the national energy mix. Gas usage has also decreased, due to energy efficiency improvements in homes and workplaces (including the roll-out of more efficient gas fired boilers) and a reduction in industrial activity within London. London's population continues to increase year on year and as of 2014 London's per capita emissions remain the UK's lowest at 4.4 tonnes.",8600000,2015,491550000000,GBP     Pound Sterling,2014,"London measures GVA rather than GDP.•In 2015, London’s total nominal GVA was over £378 billion, up 3.2 per cent on 2014.  An indicative value for London's GDP has been estimated from 2014 per capita data ($57,157) published by Brookings (http://www.brookings.edu/research/reports2/2015/01/22-global-metro-monitor)",11,35,1572,"(51.504858, -0.078689)"
Municipalidad de Rio Grande,Rio Grande,Argentina,Latin America,,2017,Administrative boundary of a local government,,810086,,This is our first year of calculation,El año 2015 es nuestro primer año reporte de inventario de gases de efecto invernadero.,79765,2015,35124,ARS     Argentine Peso,2015,"Dato estimado a partir de datos del: INDEC, Serie histórica, Oferta y Demanda Globales, años 2004-2016 Ministerio de Economía y Finanzas Públicas, Subsecretaría de Planificación Económica, Fichas provinciales, Provincia de Tierra del Fuego AeIAS, octubre 2015  y aclará que es un dato provisorio, porque el Indec todavía no publicó los datos definitivos para el 2015/ Observatorio Estadistico Municipio de Río Grande",6,18,938,"(-53.786, -67.7002)"
City of Pittsburgh,Pittsburgh,USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,4851452,,Decreased,"There has been significant variation in the way that data was collected an reported, and Pittsburgh had about 30,000 fewer residents in 2013 compared to 2003. Recalculating 2003 and 2008 inventories to compare to the 2013 inventory shows that emissions have decreased by about 4% since the 2008 inventory, but have still increased by 10% since 2003. Several exogenous factors reduced emissions - such as lower electricity emission factors due to a cleaner electric grid, and better fuel efficiency and lower tailpipe emission factors for cleaner vehicles. However, Pittsburgh did see reductions in the tonnage of solid waste sent to landfill and a reduction in vehicle miles traveled. The industrial sector used less electricity in 2013 than in 2003, and less natural gas in 2013 than in 2008. The commercial sector used less electricity in 2013 than in 2008, but used significantly more natural gas. The residential sector increased electricity use and substantially increased natural gas use. The increase in natural gas is likely due to improved data quality, but seems to also correlate to the rise of hydraulic fracturing in the region. Natural gas emissions increased almost three-fold since 2003.",305704,2016,135662,USD     US Dollar,2014,http://www.pittsburghtoday.org/view_GDP2.html,11.1,293,151,"(40.4406248, -79.9958864)"
City of Toronto,Toronto,Canada,North America,C40,2017,Administrative boundary of a local government,,20043240,,Other:,Changed to the GPC Reporting Tool Method,2753100,2011,157300000000000,CAD     Canadian Dollar,2013,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=41e067b42d853410VgnVCM10000071d60f89RCRD&vgnextchannel=57a12cc817453410VgnVCM10000071d60f89RCRD,8,77,634,"(43.653226, -79.3831843)"
City of Mannheim,Mannheim,Germany,Europe,,2017,Administrative boundary of a local government,CO2,3806000,"Most data are at a high quality based on real energy consumption in the sectors, some data are calculated on provided regional or national data sources.",Decreased,improvement of the emission factors of the district heating system with optimized combined heat and power technology,312722,2015,17975,EUR     Euro,2014,www.statistik-bw.de,10.9,104,145,"(49.487459, 8.466039)"
City of Aspen and Pitkin County,Aspen and Pitkin County,USA,North America,,2017,A metropolitan area,CO2; CH4; N2O,394341,Performed inventory in house,Decreased,"Aggregate emissions: -7.4% between 2004 and 2014.
Res. Energy: +5%
Comm. Energy: -26%
Vehicles: - 13%
Airport: +15%
Waste:=2%",8427,2010,566889555,USD     US Dollar,2013,City of Aspen - Finance Dept (Liz Woods),6,2405,20,"(39.195, -106.837)"
Canberra,Canberra,Australia,South Asia and Oceania,,2017,Administrative boundary of a local government,CO2; CH4; SF6; N2O; HFCs,4047600,Prepared by independent entity with high professional standing in GHG accounting.,Increased,"ACT emissions have remained relatively stable since the last inventory, with less than a 1% increase reported. This is due to 20GwH of new large scale renewables coming on line, balancing an increase in demand for electricity, and a 5% decrease in natural gas use. These reductions offset a growth in transport fuel use by 4%.",400000,2016,36225000000,AUD     Australian Dollar,2016,"ABS, 2016",13.5,578,2358,"(-35.3075, 149.1244)"
Ayuntamiento de San Luis Potosí,San Luis Potosí,Mexico,Latin America,,2017,A metropolitan area,CO2; CH4; N2O,27548711,It corresponds to the City of San Luis Potosí,Increased,"Because in recent years the city has seen a high degree of interest of foreign companies for the installation of new industrial plants, thus the demand for jobs and resources increases, having a greater number of companies, workers they need transportation that is often itself.",824229,2015,183992,MXN     Mexican Peso,2015,INEGI,21,1998,1482,"(22.173333, -100.97005)"
City of Minneapolis,Minneapolis,USA,North America,,2017,Administrative boundary of a local government,,4758487,,Other:,Our 2014 GHG inventory is reported both this year and last year. This year's reporting of the 2014 inventory includes updated calculations to further comply with the GPC. We expect to release our 2015 inventory in June 2017.,410939,2015,235733000000,USD     US Dollar,2015,https://www.bea.gov/newsreleases/regional/gdp_metro/2016/pdf/gdp_metro0916.pdf,7.9,265,139.8,"(44.983334, -93.26667)"
Basel-Stadt,Basel-Stadt,Switzerland,Europe,C40,2017,Administrative boundary of a local government,,825704,,This is our first year of calculation,,198206,2016,30990000000,CHF     Swiss Franc,2013,Federal Statistical Office,12,260,37,"(47.5619, 7.5928)"
Kaohsiung City Government,Kaohsiung,Taiwan,East Asia,,2017,Administrative boundary of a local government,,,"In activity data selection, the area analysis number occupied 65.1% and local analysis number occupied 26.51%, so there is 90% that city selected middle or low error activity data; In emissions coefficient, city almost used national level coefficient, so there is 98.75% emissions were calculated by middle error level emissions coefficient.",Decreased,"The city's community GHGs emission compared with 2014, is 1.4% decreased. And the city is actively working on promoting action in industrial and transportation section, which are the main source in city. In industry, there is rule for limiting factory emission and also promoting energy-saved actions, also, the city constructs public transport to reduce daily vehicles' emission.",2779371,2016,529700000,USD     US Dollar,2016,Ministry of Economic Affairs,25.1,50,2947.6,"(22.629705, 120.343804)"
Sonderborg Kommune,Sonderborg,Denmark,Europe,,2017,Administrative boundary of a local government,,1806679,,Decreased,"A sustained fall in energy consumption (a fall of 1.6 %)  
-  Continued conversion to district heating and a fall in the consumption of natural gas for individual 
heating that corresponded to 11 %      
-  A lower emission factor on grid supplied energy carriers (electricity and heat)",74801,2017,2357007058,USD     US Dollar,2013,,9.6,,496.6,"(54.913811, 9.792178)"
Greater Manchester,Manchester,United Kingdom,Europe,,2017,A metropolitan area,,16892757,,Decreased,"Emissions decreased from is 18.1 to 17.9 million tonnes between 2013 and 2014. This represents a change from our GHG emissions tonnage figure reported to CDP in 2015 and a slight decrease in the first 2013 Global GHC protocol compliant Baseline Emissions inventory.  Repeating the reasons for the change - between emissions reported in 2015 submission and now (due to move to a compliant BEI process), this is due to inclusion of scope 3 emissions included in the Basic/Basic+ element of the inventory which GM commissioned which is now compliant with the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI).  Previous submissions to CDP only included scope 1 and 2 emissions which drew directly from the national government DECC Local and Regional CO2 Emissions Estimates for 2005-2012 which used similar but not identical methodologies. This is part of a longer trend of decreasing emissions, punctuated with occasional increase years. Primary factors which determine the performance are the use of coal in any one year for grid electricity generation, and weather conditions during spring and autumn, where an extended heating season can occur if these are cold. A decline in total energy consumption is the most significant long term trend factor, due to the uptake of more energy efficient appliances, home adaptations, goods, services and transport",2762000,2014,58000000000,GBP     Pound Sterling,2015,this is GVA (NOT GDP which is GVA+taxes-subsidies but this isn't available to us).  this is the Oxford Economics figure which has been deflated to 2013 prices and is the most used figure in policy documents.,9.5,250,1277,"(53.4575955, -2.1578377)"
Gemeente Groningen,Groningen,Netherlands,Europe,,2017,Administrative boundary of a local government,CO2,859000,see: http://energiemonitor.groningen.nl/ (document too big to attach),Decreased,"Main reason is warmer winters, with a reduced need for heating.",200500,2016,,,,,9,3,83,"(53.232386, 6.551335)"
City of Porto,Porto,Portugal,Europe,,2017,Administrative boundary of a local government,,960656,"The level of confidence is high since the source of all data comes from oficial government institutes. However, some of the data are still provisional and will be reviewed in the near future.",Decreased,"Porto Energy Agency has already calculated GHG emissions for 2004 , 2009 and 2012 and 2015 (this last one with non definite or mature data). The 2004 GHG emissions were the basis for the Sustainable Action Plan development. The 2009 and 2015 GHG emissions balance, point to a decrease in the emissions (by 22% and 26% respectively) - which indicates that Porto is half way of his ambitious target to 2020 – and these results are mainly  because of the decrease in the demand of fossil fuels (in mobility due to the Metro expansion) and “greener” national grid electricity.",238954,2011,,,,,15.2,83,42,"(41.1579438, -8.6291053)"
City of North Vancouver,North Vancouver,Canada,North America,,2017,Administrative boundary of a local government,CO2; CH4,187055,"Emissions data comes from multiple sources and the City relies on other agencies, such as privately owned utility companies to provide consumption data. As a result, the City cannot comment on the accuracy of the data.",Other: 2015 data reported as 2016 data not available,"Comparisons are not possible at this time, as the next year's data (2016) are not yet available.  We are thus still reporting 2015 data as before (note that our emissions data submitted April 2016 - for the year 2010 - were updated for the Compact of Mayors module submitted in December 2016 - for the year 2015).  However, due to limitations associated with the data, year to year comparisons must be made with caution.   

In general, emissions over the past few years appear to be staying the same or potentially decreasing slightly despite population increases.  This is likely due to more efficient building construction, reduction in solid waste tonnages, increased recycling and organics diversion, and increased fuel efficiency standards.",52898,2016,,CAD     Canadian Dollar,2015,,11,90,11.8,"(49.32, -123.0724)"
Singapore Government,"Singapore ",Singapore,South Asia and Oceania,C40,2017,Other: Nation-wide,CO2; PFCs; CH4; SF6; N2O; HFCs,48094650,Inventory is compiled in accordance with IPCC guidelines,,,5600000,2016,410300000000,,2016,Singapore Statistics (official),27,5,719,"(1.352083, 103.819836)"
Municipality of Hjørring,Hjørring,Denmark,Europe,,2017,Other: Energy plan for Hjoerring Municipality,CO2,417000,,Decreased,"Collective supply: decrease in fuel consumption, especially from fossil fuels. Electricity production has decreased substantially.
Industry: Large decrease in fuel consumption, especially from fossil fuels.",65308,2016,19088026316,DKK     Danish Krone,,http://www.danskbyggeri.dk/media/7648/regional-oversigt-over-bnp-i-kommunerne.pdf,7.5,22,7.5,"(57.4568, 9.9958)"
