Organisation,CountryName,CityName,C40,ReportingYear,Sector,TargetBoundary,BaselineYear,BaselineEmissions,PercentageReductionTarget,TargetDate,Comment,CityLocation,Country,CityName.1,MeasurementYear,Boundary,PrimaryMethodology,MethodologyDetails,GasesIncluded,TotalCityWideEmissions,IncreaseDecreaseLastYear,ReasonForIncreaseDecrease,PopulationYear,CurrentPopulation,CityGPP,GDPCurrency,GDPYear,GDPSource,AverageAnnualTemperature,​LandArea,AverageAltitude,Organization,Region,Population,CityGDP,​AverageAltitude,Access,TypeOfTarget,Target date,EstimatedBAUAbsoluteEmissions,​IntensityUnit,Questionnaire,AssessmentAttachmentOrDirectLink,BoundaryAssessment,YearOfPublicationOrApproval,FactorsConsidered,PrimaryAuthors,AdaptionGoalOrPlan,LastUpdate
,,New Bedford,False,,,,,,,,,POINT (-70.9342 41.6362),United States of America,,,,,,,,,,2020.0,101079.0,,,,,,,,"City of New Bedford, MA",United States of America,,,,,,,,,Cities 2023,http://www.newbedford-ma.gov/emergency-management/plans-documents/emergency-plan/,Same - covers entire jurisdiction and nothing else,2016.0,A process has been established for prioritizing identified hazards; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Puerto Princesa,False,,,,,,,,,POINT (118.73 9.74069),Philippines,,,,,,,,,,2020.0,307079.0,,,,,,,,City of Puerto Princesa,Southeast Asia,,,,,,,,,Cities 2023,CDRA_Compilation_PPC.City_reduced.pdf,Same - covers entire jurisdiction and nothing else,2021.0,A process has been established for prioritizing identified hazards; Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Oslo,True,,,,,,,,,POINT (10.7522 59.9139),Norway,,,,,,,,,,2023.0,709037.0,,,,,,,,Oslo Municipality,Europe,,,,,,,,,Cities 2023,https://klimaservicesenter.no/faces/desktop/article.xhtml?uri=klimaservicesenteret/klimaprofiler/klimaprofil-oslo-og-akershus,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers Oslo and Akershus county (county boarders have since been changed)",2017.0,"Other, please specify: Covers probable climate hazards of the area.","Other, please specify: NCCS is a collaboration between the Norwegian Meteorological Institute, the Norwegian Water Resources and Energy Directorate, NORCE – Norwegian Research Centre, and the Bjerknes Centre, the Norwegian Environment Agency is represented on the Board.",Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Miami,True,,,,,,,,,POINT (-80.1918 25.7617),United States of America,,,,,,,,,,2022.0,456923.0,,,,,,,,"City of Miami, FL",United States of America,,,,,,,,,Cities 2023,https://southeastfloridaclimatecompact.org/wp-content/uploads/2020/04/Sea-Level-Rise-Projection-Guidance-Report_FINAL_02212020.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Four Southeast Florida counties - Miami-Dade, Broward, Palm Beach, Monroe",2020.0,"A process has been established to update the assessment at least every five years; Assessment includes a high-emissions scenario (i.e., RCP 8.5)","Other, please specify: Interjurisdictional team and academia",Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,Indonesia,,,,,,,,,,2023.0,1659975.0,,,,,,,,Semarang City Government,Southeast Asia,,,,,,,,,Cities 2023,20200218 Laporan Akhir RAD API Kota Semarang.pdf,Same - covers entire jurisdiction and nothing else,2019.0,Assessment considers water security; Assessment includes sectors and/or urban systems,Consultant; Dedicated team within jurisdiction; International organization; National/ central government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,Indonesia,,,,,,,,,,2023.0,151960.0,,,,,,,,Blitar City,Southeast Asia,,,,,,,,,Cities 2023,Lapkir RPPLH KOTA BLITAR_300622.pdf,Same - covers entire jurisdiction and nothing else,2013.0,A process has been established for prioritizing identified hazards,International organization; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,"Cambridge, MA",False,,,,,,,,,POINT (-71.1057 42.3674),United States of America,,,,,,,,,,2020.0,118403.0,,,,,,,,"City of Cambridge, MA",United States of America,,,,,,,,,Cities 2023,finalreport_ccvapart2_mar2017_final2_web.pdf,Same - covers entire jurisdiction and nothing else,2017.0,Assessment considers vulnerable populations,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,Malaysia,,,,,,,,,,2020.0,686966.0,,,,,,,,Shah Alam City Council,Southeast Asia,,,,,,,,,Cities 2023,GPP_KSAS.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: National guidelines",2017.0,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,National/ central government,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Seattle,True,,,,,,,,,POINT (-122.332 47.6062),United States of America,,,,,,,,,,2020.0,737015.0,,,,,,,,"City of Seattle, WA",United States of America,,,,,,,,,Cities 2023,http://www.seattle.gov/light/enviro/docs/Seattle_City_Light_Climate_Change_Vulnerability_Assessment_and_Adaptation_Plan.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Includes hydroelectric projects, transmission & distribution, and fish habitat projects outside of the City of Seattle",2015.0,Assessment considers nature; Assessment considers vulnerable populations; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Waterford,False,,,,,,,,,POINT (-7.14535 52.2454),Ireland,,,,,,,,,,2022.0,457410.0,,,,,,,,"South-East Region of Ireland (Kilkenny, Carlow, Wexford, and Waterford Counties)",Europe,,,,,,,,,Cities 2023,https://www.wexfordcoco.ie/sites/default/files/content/Wexford-County-Council-Climate-Strategy.pdf,"Smaller - covers only part of the jurisdiction, please explain exclusions: Southeast region is composed of 4 counties which produced the assessment individually",2019.0,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Salem,False,,,,,,,,,POINT (-70.8967 42.5195),United States of America,,,,,,,,,,2020.0,44480.0,,,,,,,,"City of Salem, MA",United States of America,,,,,,,,,Cities 2023,https://www.salem.com/sites/g/files/vyhlif7986/f/uploads/salem_climate_change_plan_appendix_d.pdf,Same - covers entire jurisdiction and nothing else,2014.0,"A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Other, please specify: GIS Maps of Climate Change",Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Yeosu-si,False,,,,,,,,,,Republic of Korea,,,,,,,,,,2022.0,274765.0,,,,,,,,Yeosu City,East Asia,,,,,,,,,Cities 2023,1.1a.Climate risk and vulnerability assessment in Yeosu City.pdf,Same - covers entire jurisdiction and nothing else,2022.0,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Community group; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,Costa Rica,,,,,,,,,,2019.0,12205.0,,,,,,,,Zarcero,Latin America,,,,,,,,,Cities 2023,"1. Informe de resultados inventario de GEI Zarcero 2019.pdf, Informe_Plan de adaptación_Zarcero2023.pdf, Plan de Acción Climática de Zarcero, 2020.pdf",Same - covers entire jurisdiction and nothing else,2020.0,Assessment considers vulnerable populations; Assessment considers water security,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Adelaide,False,,,,,,,,,POINT (138.601 -34.9285),Australia,,,,,,,,,,2022.0,26120.0,,,,,,,,City of Adelaide,Oceania,,,,,,,,,Cities 2023,https://www.resilienteast.com/resources and  https://static1.squarespace.com/static/5c4d88b5aa49a11b1eae4b9f/t/5c4efde8cd836601cd1c0c73/1548680699083/IVA+Report.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This was done as a collaborative partnership of 8 local municipalities and State Government, named Resilient East, https://www.resilienteast.com/",2016.0,"Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,United States of America,,,,,,,,,,2015.0,2137829.0,,,,,,,,Mid-America Regional Council,United States of America,,,,,,,,,Cities 2023,https://www.marc.org/sites/default/files/2022-05/Climate-Risk-and-Vulnerability-Assessment.pdf,Same - covers entire jurisdiction and nothing else,2021.0,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Regional/ state/ provincial government,Adaptation goal(s),02/07/2024 04:14:16 AM
,,Belén,False,,,,,,,,,POINT (-84.1503 10.0035),Costa Rica,,,,,,,,,,2017.0,24000.0,,,,,,,,Municipalidad de Belén,Latin America,,,,,,,,,Cities 2023,https://munibelen-my.sharepoint.com/:b:/g/personal/ambiental_belen_go_cr/EbcXWwpI6hxJmbdql4OZ1eEB4AeYzCsjVZGVhfAlNZRPXA?e=RLAIAd,Same - covers entire jurisdiction and nothing else,2022.0,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Vitoria-Gasteiz,False,,,,,,,,,POINT (-2.67 42.84),Spain,,,,,,,,,,2022.0,256743.0,,,,,,,,Municipality of Vitoria-Gasteiz,Europe,,,,,,,,,Cities 2023,https://www.vitoria-gasteiz.org/wb021/was/contenidoAction.do?idioma=es&uid=u_39f815d1_127fa8ec204__7fb5,Same - covers entire jurisdiction and nothing else,2022.0,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Independencia,False,,,,,,,,,POINT (-68.8154 -32.8421),Chile,,,,,,,,,,2017.0,100281.0,,,,,,,,Municipalidad de Independencia,Latin America,,,,,,,,,Cities 2023,SECAP INDEPENDENCIA VF (Agosto 2020).pdf,Same - covers entire jurisdiction and nothing else,2020.0,"A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Moreland,False,,,,,,,,,,Australia,,,,,,,,,,2021.0,171357.0,,,,,,,,Merri-bek City Council,Oceania,,,,,,,,,Cities 2023,https://www.naga.org.au/exploring-vulnerabilities.html,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The assessment covers 9 Councils in the north of the Greater Melbourne Region, including Merri-bek City Council (formerly Moreland City Council).",2018.0,Assessment considers vulnerable populations; Assessment includes sectors and/or urban systems,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Greensboro,False,,,,,,,,,POINT (-79.792 36.0726),United States of America,,,,,,,,,,2022.0,301115.0,,,,,,,,"City of Greensboro, NC",United States of America,,,,,,,,,Cities 2023,https://www.guilfordcountync.gov/home/showpublisheddocument/12036/637604798816670000,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers entirety of Guilford County, NC and 10 municipalities therein:  Gibsonville, Greensboro, High Point, Jamestown, Oak Ridge, Pleasant Garden, Sedalia, Stokesdale, Summerfield, and Whitsett",2021.0,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Dedicated team within jurisdiction; Other, please specify: Inter-jurisdictional collaboration",Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Middelfart,False,,,,,,,,,POINT (9.87264 55.471),Denmark,,,,,,,,,,2023.0,40000.0,,,,,,,,Middelfart Municipality,Europe,,,,,,,,,Cities 2023,https://middelfart.viewer.dkplan.niras.dk/plan/32#/,Same - covers entire jurisdiction and nothing else,2022.0,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Boulder,False,,,,,,,,,POINT (-105.252 40.0274),United States of America,,,,,,,,,,2021.0,108250.0,,,,,,,,"City of Boulder, CO",United States of America,,,,,,,,,Cities 2023,https://bouldercolorado.gov/sites/default/files/2021-02/cfs-master-plan-2004.pdf,Same - covers entire jurisdiction and nothing else,2004.0,Assessment considers nature; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Whitby,False,,,,,,,,,,Canada,,,,,,,,,,2021.0,138501.0,,,,,,,,"Town of Whitby, ON",Canada,,,,,,,,,Cities 2023,Durham Community Climate Adaptation Plan.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The boundary covers the local municipalities of Pickering, Ajax, Whitby, Oshawa, Scugog, Brock, Clarington, & Uxbridge which constitute the Region of Durham.",2016.0,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Amsterdam,True,,,,,,,,,POINT (4.89516 52.3702),Netherlands,,,,,,,,,,2022.0,881933.0,,,,,,,,Municipality of Amsterdam,Europe,,,,,,,,,Cities 2023,https://www.amsterdam.nl/wonen-leefomgeving/groene-stad/samen-slag-klimaatbestendig-amsterdam/,Same - covers entire jurisdiction and nothing else,2020.0,,,Incomplete report,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,Canada,,,,,,,,,,2021.0,88168.0,,,,,,,,"District of North Vancouver, BC",Canada,,,,,,,,,Cities 2023,https://www.geoweb.dnv.org/Products/Reports/PublicSafety/BGCLandslideRiskAssessment_Final.pdf,Same - covers entire jurisdiction and nothing else,2010.0,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Florianópolis,False,,,,,,,,,POINT (-48.5482 -27.595),Brazil,,,,,,,,,,2022.0,537213.0,,,,,,,,Prefeitura de Florianópolis,Latin America,,,,,,,,,Cities 2023,https://www.pmf.sc.gov.br/arquivos/arquivos/pdf/27_08_2015_9.27.58.f256adc2f8bf21d6481e39eb1b350a0d.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Estudo realizado no Núcleo Metropolitano da Região Metropolitana de Florianópolis - nove municípios: Águas Mornas, Antônio Carlos, Biguaçu, Florianópolis, Governador Celso Ramos, Palhoça, Santo Amaro da Imperatriz, São José e São Pedro de Alcântara.",2015.0,"Other, please specify:  Estudo de emissões de gases de efeito estufa (GEE) e medidas de mitigação",National/ central government; Regional/ state/ provincial government,Adaptation goal(s),02/07/2024 04:14:16 AM
,,Oslo,True,,,,,,,,,POINT (10.7522 59.9139),Norway,,,,,,,,,,2023.0,709037.0,,,,,,,,Oslo Municipality,Europe,,,,,,,,,Cities 2023,https://www.klimaoslo.no/wp-content/uploads/sites/88/2021/03/Climate-Change-Vulnerability-Analysis-for-Oslo-short-version.pdf,Same - covers entire jurisdiction and nothing else,2020.0,"Assessment considers nature; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,United States of America,,,,,,,,,,2022.0,47722.0,,,,,,,,"San Luis Obispo, CA",United States of America,,,,,,,,,Cities 2023,https://www.slocounty.ca.gov/Departments/Planning-Building/Forms-Documents/Plans-and-Elements/Elements/Local-Hazard-Mitigation-Plan/San-Luis-Obispo-County-Multi-Jurisdictional-Hazard.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The San Luis Obispo County Multi-Jurisdictional Hazard Mitigation Plan covers San Luis Obispo County, which includes the City of San Luis Obispo. The Plan also has a city-specific annex for the City of San Luis Obispo.",2020.0,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s),02/07/2024 04:14:16 AM
,,Manhattan Beach,False,,,,,,,,,POINT (-118.405 33.8889),United States of America,,,,,,,,,,2020.0,35506.0,,,,,,,,"City of Manhattan Beach, CA",United States of America,,,,,,,,,Cities 2023,https://drive.google.com/file/d/1J_HmVB56MAVDqCVnt4-fbPvbrg1izUHX/view?usp=sharing,Same - covers entire jurisdiction and nothing else,2021.0,Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Columbus,False,,,,,,,,,POINT (-82.9988 39.9612),United States of America,,,,,,,,,,2022.0,908386.0,,,,,,,,"City of Columbus, OH",United States of America,,,,,,,,,Cities 2023,FINAL_ColumbusFinalReport_3.0.pdf,Same - covers entire jurisdiction and nothing else,2016.0,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Providencia,False,,,,,,,,,POINT (-70.6092 -33.4313),Chile,,,,,,,,,,2017.0,142079.0,,,,,,,,Municipalidad de Providencia,Latin America,,,,,,,,,Cities 2023,http://firma.providencia.cl/dsign/cgi/sdoc.exe/sdoc/document?id=g%2BlSq31Km%2BOGiGVdpYsebg%3D%3D,Same - covers entire jurisdiction and nothing else,2015.0,Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Relevant department within jurisdiction,Incomplete report,02/07/2024 04:14:16 AM
,,The Hague,False,,,,,,,,,POINT (4.3007 52.0705),Netherlands,,,,,,,,,,2023.0,564000.0,,,,,,,,Municipality of The Hague,Europe,,,,,,,,,Cities 2023,https://denhaag.raadsinformatie.nl/document/7390498/1/RIS301829_bijlage,Same - covers entire jurisdiction and nothing else,2019.0,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,Brazil,,,,,,,,,,2022.0,37596.0,,,,,,,,Prefeitura de Sirinhaém,Latin America,,,,,,,,,Cities 2023,"ÁREA DE RISCO OUTEIRO, VILA OPERÁRIA E VILA ESPERANÇA.pdf","Smaller - covers only part of the jurisdiction, please explain exclusions: Bairro da Vila Operária que apresenta risco de movimento de massa na rua da Bica",2023.0,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s),02/07/2024 04:14:16 AM
,,Santiago,True,,,,,,,,,POINT (-70.6693 -33.4489),Chile,,,,,,,,,,2023.0,8367790.0,,,,,,,,Región Metropolitana de Santiago,Latin America,,,,,,,,,Cities 2023,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2020/07/Plan-Nacional-Adaptacion-Cambio-Climatico-version-final.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Plan Nacional de Adaptación al Cambio Climático",2015.0,"A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",National/ central government,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Vantaa,False,,,,,,,,,,Finland,,,,,,,,,,2022.0,242917.0,,,,,,,,City of Vantaa,Europe,,,,,,,,,Cities 2023,ilmastonmuutos-paakaupunkiseudulla.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The report deals with climate change in the Helsinki Metropolitan area",2023.0,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)","Other, please specify: Finnish Meteorological Institute",Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Kyoto,False,,,,,,,,,,Japan,,,,,,,,,,2022.0,1448964.0,,,,,,,,Kyoto City,East Asia,,,,,,,,,Cities 2023,https://www.city.kyoto.lg.jp/kankyo/cmsfiles/contents/0000000/328/keikaku2021-2030.pdf,Same - covers entire jurisdiction and nothing else,2021.0,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework; Other, please specify: 生物多様性、農林業、食品、産業、商業、公衆衛生、地域社会及び文化、危機管理、観光、健康",Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,United States of America,,,,,,,,,,2020.0,19000.0,,,,,,,,"Ferndale, MI",United States of America,,,,,,,,,Cities 2023,"FINAL_FINAL_GHG_Emissions_Inventory_Report.pdf, Plan Ferndale Adopted 09.26.22 HIGH RES.pdf",Same - covers entire jurisdiction and nothing else,2019.0,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation plan,02/07/2024 04:14:16 AM
,,"Columbia, MO",False,,,,,,,,,POINT (-92.3341 38.9517),United States of America,,,,,,,,,,2020.0,128464.0,,,,,,,,"City of Columbia, MO",United States of America,,,,,,,,,Cities 2023,https://www.como.gov/wp-content/uploads/2020/11/CoMoCAAP_VAfactsheets_Health_final.pdf,Same - covers entire jurisdiction and nothing else,2018.0,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Makati,False,,,,,,,,,POINT (121.024 14.5547),Philippines,,,,,,,,,,2020.0,629616.0,,,,,,,,City Government of Makati,Southeast Asia,,,,,,,,,Cities 2023,"Makati DRRM Health Plan 2020-.pdf, Makati DRRM Plan 2019-2030.pdf, Makati DRRM Plan 2019-2030-pages-39-62.pdf",Same - covers entire jurisdiction and nothing else,2019.0,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Community group; Consultant; Dedicated team within jurisdiction; International organization; National/ central government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Peñalolén,False,,,,,,,,,POINT (-70.5302 -33.454),Chile,,,,,,,,,,2017.0,241599.0,,,,,,,,Municipalidad de Peñalolén,Latin America,,,,,,,,,Cities 2023,"""Atlas de Riesgos Climáticos"" disponible en:  ""https://arclim.mma.gob.cl/""","Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Análisis de riesgos climáticos de todas las localidades del país",2022.0,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,"International organization; National/ central government; Other, please specify: Academia",Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,Australia,,,,,,,,,,2022.0,89139.0,,,,,,,,City of Canada Bay,Oceania,,,,,,,,,Cities 2023,,Same - covers entire jurisdiction and nothing else,2011.0,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s),02/07/2024 04:14:16 AM
,,Ottawa,False,,,,,,,,,POINT (-75.6972 45.4215),Canada,,,,,,,,,,2022.0,1067310.0,,,,,,,,"City of Ottawa, ON",Canada,,,,,,,,,Cities 2023,https://ottawa.ca/en/living-ottawa/environment-conservation-and-climate/climate-change-and-energy/climate-resiliency,Same - covers entire jurisdiction and nothing else,2022.0,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Unley,False,,,,,,,,,POINT (138.6 -34.95),Australia,,,,,,,,,,2022.0,39085.0,,,,,,,,Unley City Council,Oceania,,,,,,,,,Cities 2023,https://www.resilienteast.com/resources  and  https://static1.squarespace.com/static/5c4d88b5aa49a11b1eae4b9f/t/5c4efde8cd836601cd1c0c73/1548680699083/IVA+Report.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Undertaken as part of the Resilient East project - a partnership between the Cities of Unley, Adelaide, Tea Tree Gully, Campbelltown, Burnside, Norwood Payneham and St Peters, Prospect and The Town of Walkerville.",2015.0,"Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
